CustomerID,SignupDate,LoyaltyStatus
CUST003,2023-01-13,Inactive
CUST004,2023-05-21,Active
CUST005,2023-05-06,None
CUST006,2023-04-25,Inactive
CUST007,2023-03-13,None
CUST008,2023-02-22,None
CUST009,2023-12-13,Inactive
CUST010,2023-10-07,None
CUST011,2023-02-14,Active
CUST012,2023-10-30,None
CUST013,2023-08-05,Active
CUST014,2023-01-17,Active
CUST015,2023-01-16,None
CUST016,2023-02-17,Active
CUST017,2023-04-22,Inactive
CUST018,2023-04-30,Active
CUST019,2023-09-16,Active
CUST020,2023-11-05,Active